f_food_id,f_food_name,f_class_name,f_food_desc,f_food_qty,f_food_price
f16001,蘿蔔糕加蛋,小菜,,1,30
f06001,烘蛋,早餐,,2,100
f22002,玉米濃湯,西式料理,,4,60
f06002,生菜沙拉,早餐,,1,40
f15001,樹子蒸魚,中式料理,,2,60
f15002,鮮蔬蛤蜊,中式料理,,2,90
f55001,超營養潛艇堡,小點心,,1,50
f10002,巧克力風味小點心,甜點,美味的巧克力餅乾加上巧克力豆甜而不膩,4,20
f10001,美味健康沙拉,小菜,美味的蔬菜加上鮮甜的水果,4,40
f35001,三杯雞,中式料理,,4,100
f59001,法式吐司佐水果鮪魚,西式料理,充滿蛋香的法式吐司，搭配清甜水果與濃郁鮪魚,1,120
f59002,梅子蘋果西打,中式料理,氣泡飲料加上酸甜的梅子,1,40
f35002,香酥雞腿排,西式料理,,1,180
f37001,炸薯條,小點心,由整顆新鮮馬鈴薯製作而成,4,50
f38011,黃金沙拉,其他,,1,100
f50001,香煎牛排,西式料理,,1,180
f37002,咖哩飯,中式料理,咖哩醬汁香氣濃厚，搭配滑嫩雞肉、紅蘿蔔、馬鈴薯,1,120
f48001,芋頭地瓜圓,甜點,天然地瓜芋頭圓，營養健康讓你回到小時候天真的童趣時光,6,240
f55002,超營養多綠,其他,,1,35
f48002,芋頭湯圓,甜點,讓你吃到綿密的芋頭濃郁的香氣，天然又營養,3,120
f07001,桂竹筍炒肉絲,下飯菜,,1,115
f07002,筊白筍炒香菇,下飯菜,,1,81
f52001,蒸蛋,小菜,蒸蛋,1,20
f52002,蛋花湯,其他,蛋花湯,1,30
f41002,肋眼心牛排(16OZ),西式料理,建議5分熟，些微肉汁加血水，加上肉本身的油質加筋的咬勁。,1,340
f15200,重乳酪蛋糕,甜點,,4,90
f28001,奇異酒,其他,微酸微甜 失戀滋味,1,125
f05001,托斯卡尼脆薯,小點心,由美國進口馬鈴薯條，油炸過後變成美味的薯條，咬起來卡滋卡滋的，適合聚餐聊天最佳小,2,60
f28002,嘿!蛋炒飯,日式料理,中日混血蛋包飯 小清新口感,1,250
f05002,鮮嫩小雞塊,小點心,高溫油炸過後，能吃到一絲絲雞肉的雞塊，是聚餐聊天的最佳小點心。,2,60
f89001,黃金咖薯,小點心,將馬鈴薯炸到外酥內軟，撒上咖哩粉，真是絕配。,1,50
f89002,戀愛的滋味,小點心,酸甜的滋味，彷彿戀愛了！,25,20
f73002,蒜爆高麗菜,中式料理,高麗菜搭配淡淡蒜香 讓人意猶未盡,3,150
f27002,鮮奶麥米片,早餐,,1,60
f04001,咖哩麵,日式料理,,1,60
f18001,檸檬雞柳,小菜,檸檬雞柳,1,50
f04002,咖哩醬,日式料理,,45,40
f18002,卡啦雞排,小菜,卡啦雞排,1,50
f40001,香蕉小熊巧克力鬆餅,其他,,1,80
f74001,海苔壽司,日式料理,清爽海苔壽司,4,30
f60001,蛋包炒泡麵,麵食,好吃又美味，值得你吃一次,1,65
f60002,蛋餅,小點心,有鮪魚、玉米兩種口味可自由搭配,1,35
f74002,悶絲瓜,小菜,清甜悶絲瓜,3,30
f51001,布丁木瓜牛奶,其他,,1,50
f51002,布丁香蕉牛奶,其他,,1,50
f51003,芭樂牛奶,其他,,1,50
f51004,蜂蜜蘋果牛奶,其他,,1,50
f81001,海鮮煎餅,韓式料理,,3,90
f02001,水果優葛點心,小點心,橘瓣、巧克力海綿蛋糕、優格、麥片、果凍,1,30
f58002,番茄樂,小點心,好呵,1,50
f18002,剝皮辣椒雞湯,中式料理,參照P18201 - P18209,5,150
f43002,現榨時令果汁,其他,,2,70
f81002,鮮奶奶酪,甜點,,3,45
f53001,黑色冰炫風,甜點,冰淇淋+巧克力,1,60
f53002,蘋果醋,小點心,蘋果醋+蘋果+水,1,50
f10002,火腿雞蛋乳酪吐司,西式料理,,1,80
f17002,水果鬆餅,甜點,將鬆餅粉加水攪拌成泥後，放入鬆餅機烤熟，再把水果與鬆餅一起擺盤即可。,1,120
f40002,活力鹹鬆餅,小菜,,1,120
f57001,蛋包咖哩飯,中式料理,齁甲,35,1
f03001,南瓜濃湯,西式料理,南瓜切塊 蒸煮熟 跟洋蔥一起打碎 調味,5,60
f26001,彩椒蘑菇歐姆蛋,西式料理,金黃色的歐姆蛋裡包著甜甜的彩椒跟含水多的杏鮑菇,1,200
f43001,英式早餐,西式料理,好吃的英式早餐喔~~~~~~~~~~~~~~~~~~料超多的喔,1,200
f20001,香蕉巧克力奶昔,甜點,,1,160
f20002,布朗尼蛋糕,蛋糕,,1,120
f42001,綠豆湯,,,0,20
f47001,飄浮可樂,其他,,1,99
f33001,鮮奶酪,甜點,,1,45
f47002,法西斯雞腿排,西式料理,,1,299
f13001,馬鈴薯沙拉,早餐,,3,60
f26002,起司培根玉米歐姆蛋,西式料理,金黃歐姆蛋包著香香的起司培根玉米,1,180
f13002,水果法式吐司,早餐,,3,80
f19001,蘑菇歐姆蛋捲,西式料理,加了起司的好吃蛋捲,2,210
f49001,主廚精製沙拉,小菜,健康又美味的沙拉,1,99
f43002,三明治,西式料理,多層豐富的三明治 給妳百分百的活力與元氣,2,150
f33002,泰式涼拌沙拉,下飯菜,,1,120
f19002,蟹香濃湯,西式料理,香郁的濃湯~~~,210,1
f49002,薄鹽挪威鮭魚排,西式料理,好吃又健康的魚排喔,1,299
f08001,燙青菜,小菜,,0,30
f54001,雞蓉玉米濃湯,中式料理,,6,40
f54002,香煎豬里肌,中式料理,,1,120
f14001,黃金吳郭,日式料理,將魚煎至焦黃色,1,250
f14002,骰子牛肉,中式料理,牛肉拌醬,1,550
f20001,醬滷白菜,下飯菜,參照P20101 - P20111,1,120
f20002,板燒豆腐,下飯菜,參照P20201 - P20208,1,100
f09001,豬肉瑪格莉特披薩,西式料理,,1,120
f23001,歐姆蛋,西式料理,,1,140
f23002,吐司布丁,甜點,,1,70
f51001,蘋果肉桂玫瑰卷,甜點,,4,60
f10001,菠蘿巧克力餅乾,餅乾,,2,55
f06001,蜂蜜法式吐司磚,早餐,,1,60
f39001,番茄鮮蔬雞肉義大利麵,西式料理,,1,275
f37001,白醬蛤蜊鮮蝦義大利麵,西式料理,,1,280
f26001,法式吐司,西式料理,,2,45
f45001,肉鬆三明治,早餐,在兩片切邊的吐司加上肉鬆和沙拉醬後一起放進烤箱裡烤,1,45
f1601,焗烤馬鈴薯,西式料理,,4,50
f02001,香煎鮭魚蘑菇義大利麵,小菜,,1,250
f29001,培根起司蛋餅,早餐,,1,35
f05001,提拉米蘇,甜點,,1,100
f61001,熔岩巧克力蛋糕,甜點,,6,85
f29002,肉鬆起司蛋餅,早餐,,1,35
f45002,草莓三明治,早餐,在兩片切邊的吐司涂上草莓醬，再夾上起司及火腿一起放進烤箱裡烤,1,35
f25001,香煎鮭魚,中式料理,不管大人小孩吃都能補充良好的DHA且能顧眼睛喔~~,2,110
f26002,雪花糕,甜點,,3,50
f39002,蘋果鳳梨汁,其他,,1,90
f37002,酥皮可頌＆仙人掌果醬酥皮,小點心,,1,50
f1602,和風豆腐沙拉,西式料理,,4,40
f04002,南瓜濃湯,西式料理,,1,80
f34001,炒茴香,小菜,新鮮現炒,2,30
f54001,洋蔥蛋,西式料理,,1,80
f25102,四季皮蛋,中式料理,香香脆脆的，很下飯且適合一群朋友喝喝小酒搭配著吃,2,55
f40,紐約客重乳酪蛋糕,蛋糕,充滿愛的甜點,6,60
f3801,雞蛋布丁,甜點,,10,35
f3802,水蒸蛋糕,甜點,,4,30
f53001,埔里炒米粉,中式料理,新鮮現炒。嚴選埔里米粉/香菇/高麗菜。,2,60
f54002,蘋果奶昔,其他,,1,70
f57101,培根蛋餅,早餐,滴下幾點高級葵花油，新鮮培根下鍋，吱吱作響，8分熟後拿起，打入蛋放上餅皮，快熟食,1,30
f05002,水果塔,甜點,,1,80
f48101,法國吐司,早餐,法國吐司,1,25
f06002,蛋沙拉口袋三明治,早餐,,1,55
f18001,紅酒燉牛肉,西式料理,參照P18101 - P18107,10,250
f19001,香菇雞,中式料理,古早味,8,120
f34002,白菜豆腐湯,小菜,新鮮現煮,2,35
f12,三杯雞,下飯菜,參照m12001-m12007,5,30
f22102,蘑菇鐵板麵,早餐,將麵與蘑菇醬拌炒數分鐘而成,1,40
f08001,鮪魚玉米三明治,西式料理,,1,70
f56101,蘿蔔糕,中式料理,煎到恰恰好,1,20
f51002,鬆餅,甜點,,2,60
f53002,煎香腸,中式料理,當天豬肉現灌。,2,50
f57102,培根蛋吐司,早餐,一條土司拿兩片進入烤箱烤，有陣陣香味出來拿起，熱鍋滴下幾點高級葵花油，新鮮培根下鍋，吱吱作響，8分熟後拿起，吐司加上起士,1,30
f56102,蔥油餅加蛋,中式料理,煎到恰恰好,1,30
f21001,四神排骨湯,中式料理,參照m21001-21002,5,45
f11001,番茄炒蛋,中式料理,酸酸甜甜下飯菜,2,60
f47001,抹茶戀人,餅乾,,2,80
f44700,可麗餅,甜點,火腿起司鮪魚可麗餅,1,129
f13600,奶酪,甜點,原味純奶酪加上巧克力醬,2,60
f19002,蒜頭雞,中式料理,古早味,8,110
f55101,巧克力布朗尼蛋糕,蛋糕,,6,60
f11002,酸溜土豆絲,中式料理,超級爽口,2,60
f15100,卡士達波蘿可可泡芙,甜點,,4,40
f21002,五行彩蔬,中式料理,參照m21100-21105,4,50
f52501,韭菜花炒黑輪,中式料理,帶有韭菜花的香味及脆度通時又有黑輪的甜味及軟嫩，色香味俱全阿~,3,50
f36001,核桃巧克力派,甜點,,8,75
f48102,豬肉蛋堡,早餐,漢堡包+豬肉+蛋,1,35
f49101,清蒸虱目魚肚,中式料理,清蒸可以保留虱目魚肚的原味,吃起來滑嫩多汁,配上已入味的薑絲,會讓你一口一口停不下來!,4,95
f19004,起司蛋麵,西式料理,,1,70
f08002,起司培根三明治,西式料理,,1,85
f49201,炒瓜仔肉,中式料理,香噴噴的豬肉搭配脆脆的冬瓜,帶點辣辣的味道,口感豐富,比滷肉飯還下飯!,4,60
f14101,香草冰淇淋鬆餅,甜點,鬆餅加上冰淇淋/巧克力醬/蜂蜜,1,99
f62101,紅茶,其他,煮紅茶流程,16,60
f11002,香蕉鬆餅,甜點,,1,45
f60001,白色戀人,餅乾,小巧可愛的夾心餅乾。,5,45
f52601,芹菜炒豆乾,中式料理,脆脆得芹菜與香噴噴的豆乾，再加入辣椒點綴提味，色香味俱全的一道菜~,3,80
f03001,馬鈴薯沙拉,其他,,1,70
f44300,三明治,甜點,火腿起司鮪魚三明治,1,109
f42001,巧克力派,甜點,,6,50
f62102,綠茶,其他,煮綠茶流程,1,60
f14201,煎蛋卷,小點心,日式原味蛋卷/韓式煎蛋卷,1,129
f63101,重乳酪蛋糕,蛋糕,,6,60
f43001,伯爵乳酪戚風蛋糕,蛋糕,,8,90
f61002,抹茶蜜紅豆戚風蛋糕,甜點,,6,55
f07601,三明治＆濃湯,西式料理,,1,159
f01001,塔香烏魚子義大利麵,西式料理,,1,320
f04001,海鮮燉飯,西式料理,,1,280
f01002,鮮奶吐司,小點心,,5,50
f13800,法式厚片吐司,西式料理,法式厚片土司灑上糖粉/夾起司,1,129
f41101,炸物拼盤,小點心,薯條、雞塊、可樂餅拼盤,2,99
f41201,蛋捲,小點心,手工製作的傳統蛋捲,1,60
f32001,乳酪布丁塔,甜點,,6,35
f03002,鮮蝦沙拉,其他,,1,110
f62104,咖啡,其他,泡咖啡過程,1,100
f22101,起司蛋餅,早餐,起司蛋餅,1,30
f01003,蔓越莓吐司,小點心,,5,50
f09002,豬肉番茄義大利麵,西式料理,,1,180
f35401,排餐,西式料理,,1,200
f35701,沙拉,西式料理,,1,120
f07301,義大利麵,西式料理,,1,149
f58001,南瓜湯,西式料理,,6,60
f58002,酥脆炸薯條,小點心,,1,75
f46501,手工比薩,西式料理,手工比薩,4,140
f42002,棉花糖盆栽,甜點,外面賣的盆栽蛋糕都很貴，自己做簡單又省錢!,1,40
f32201,牛奶雪花糕,小點心,,6,35
f46101,咖哩飯,西式料理,咖哩飯,4,160
f28001,經典牛肉漢堡,西式料理,起司、豬牛肉、番茄、生菜,5,149
f28002,紅燒牛腩蛋包飯,日式料理,嫩蛋包飯,1,169
f63201,美式咖啡,其他,,1,50
f30701,玉米濃湯,西式料理,鮮甜的玉米粒搭配濃郁的濃湯大人小孩都愛百年不敗的經典料理,4,60
f30801,咖哩雞肉,西式料理,馬鈴薯與紅蘿蔔加上洋蔥的神組合將雞肉的甜度提味令人三天難以忘懷的好滋味,3,50
f47002,奶酥小餅乾,餅乾,,7,80
f55201,焦糖土司塊,小點心,香甜可口的土司塊,1,60
f2703,燒酒雞,中式料理,熱呼呼的燒酒雞配上淡淡酒香和麻油香氣，再吃上軟嫩的雞肉和順口的熱湯,4,50
f2704,辣炒雞排,韓式料理,軟嫩入味的年糕搭配雞肉塊，別於中式料理多了不同的味覺享受,4,50
f36201,紅豆紫米粥,小點心,,4,35
f40001,甜蜜蜜鬆餅,甜點,充滿愛的甜點,1,150
f60002,焦糖雞蛋布丁,小點心,入口即化的美味布丁。,5,25
f2801,麵包焗烤培根蛋,日式料理,日本超人氣點心，濃郁的蛋之下，有煎香的培根鋪在圓麵包底部，撒滿濃郁起司，多重享受，美味滿點。,1,79
f2802,蛇姬淡蛋的幸福,下飯菜,兼具可愛及創意的逗趣蛇姬，看著吃著，忽然飄來一陣淡淡的幸福。,1,39
f37001,Oreo星冰樂,甜點,清涼一夏 美味可口Oreo星冰樂,1,180
f37002,Yogurt Parfait,甜點,營養滿分 Yogurt Parfait,1,75
f0801,日式小鮮肉,日式料理,,1,60
f0802,阿妃蒸蛋,日式料理,,1,25
f2901,黃金翻滾玉米海,中式料理,,1,40
f21001,起司火腿鮮蔬法式吐司,早餐,,1,180
f21002,口袋薯泥佐三色輕食,早餐,,1,180
f2902,好彩彩彩彩頭soup,中式料理,,1,80
f14001,oreo棉花糖九宮格,甜點,甜蜜的9顆棉花糖，內裡有濃濃的1片起司，吃一口，就能吃到鹹甜的滋味,1,79
f14002,草莓奶油蜜鬆餅,甜點,濃濃的鬆餅香2片，上頭有濃郁的奶油5顆，加上酸甜的5顆草莓，讚不絕口的滋味,1,79
f20002,火腿蛋吐司,早餐,火腿1片、蛋1顆、吐司2片、胡椒適量、起司1片,1,65
f26002,香腸炒飯,中式料理,,1,65
f5001,翰式肉肉,日式料理,,1,50
f11001,法式吐司香蕉捲,甜點,,1,89
f26001,鹹酥蝦,中式料理,,1,60
f22001,番茄炒蛋,中式料理,,3,40
f5002,太陽後裔,日式料理,,1,30
f19003,吐司邊酥條,甜點,,1,30
f0602,滑嫩菇菇雞蛋佐仲基的肌膚,中式料理,享受軍中簡便快速的國民美食,1,120
f0601,美式蜂蜜鬆餅佐草莓,甜點,甜蜜蜜的滋味享受蜂蜜與草莓的滋味,1,180
f48001,阿波羅黃金蛋,下飯菜,以紅蘿蔔絲攪拌最高級土雞蛋，以快炒即可完成。,2,50
f0604,清炒空心菜佐鹽巴,中式料理,在脆脆的口感裡處發敏感的味蕾,1,80
f44001,厚牛潛艇堡,西式料理,,1,109
f36001,海洋之鑽,下飯菜,炒海瓜子,3,35
f42003,絲瓜蛤蜊,下飯菜,蛤蜊配合絲瓜一起燉煮,3,100
f35001,洋蔥燒雞肉,中式料理,利用洋蔥的清甜與雞肉同煮，整道料理就好吃的不得了,1,50
f0605,奶酪陷阱佐學長會要你,小點心,Q彈奶味嘴裡爆開學長陷入你懷裡,1,40
f1501,蒸蛋,中式料理,方便快速又下飯,1,30
f39-2,鮮奶綠,小點心,好喝又健康又簡單，可以在家DIY,1,40
f4101,塔上蛋,小菜,九層塔由於含豐富的維生素Ａ、Ｃ，可增強免疫系統、抗血管氧化，對於支氣管炎、鼻竇炎、氣喘的病人都很有功效。不過九層塔若經長,4,20
f22002,清蒸鱸魚,中式料理,,3,60
f49001,香菇肉丸子蛋花湯,其他,,4,30
f09001,紅豆薏仁手工Q三圓,甜點,煮得綿密的紅豆和香香的薏仁，搭上純手工QQ的芋圓和地瓜圓，還有會流出芝麻的湯圓，給你冰冰涼涼好滋味！,10,35
f4701,黑胡椒滑蛋豬柳拌飯,中式料理,,0,0
f39-1,鮪魚焗烤吐司,小點心,個人非常熱愛的點心，也很簡單製作,1,40
f23001,牡蠣蝦仁茶碗蒸,小菜,充滿海鮮配料、光滑綿密的茶碗蒸，還不來吃一口！,3,30
f23002,雞蛋捲,小菜,大人小孩都喜歡的雞蛋捲，快來嘗鮮吧！,1,45
f33001,日式滷豆干,小菜,香氣十足的滷豆干，加上有點辣辣的口感，讓人想一口接一口永遠吃不膩！,6,40
f04001,豆漿味噌拉麵,日式料理,快來吃喔~~~~,3,60
f33002,日式雪花糕,小點心,甜甜又帶有濃郁奶香味的雪花糕，入口即化的口感，讓人十分滿足！,5,35
f04002,味噌湯,日式料理,快來喝喔~~~~,6,20
f35001,咖哩飯,日式料理,素食的也可以吃喔?,7,60
f36002,美濃情深,下飯菜,炒野蓮,2,50
f35002,涼麵,日式料理,歡迎素食者嘗鮮,1,55
f4102,台韓混血兒,韓式料理,增進食欲。 2) 有助於調節體重。 3) 預防便秘和大腸癌。,1,70
f3701,奇妙驚喜包,早餐,說到歐姆蛋，總會想到豐富內餡，如蘑菇、甜椒、火腿、乳酪，用的餡料總比蛋還多。一口咬下去，驚喜不斷。,2,50
f3702,甜在心布丁,甜點,一道出色的甜點，它可以在一頓美味的套餐後給予那份屬於完美的享受感，就像這道燉奶布丁，一口咬下，甜入你心。,2,40
f0606,三杯魚尤魚,下飯菜,神秘的口感在你嘴裡發出醬汁與魷魚的戰爭,1,150
f0607,彈牙花枝融菇羹湯,中式料理,香濃的海味與森林的菇味配上酸甜辣的口感,1,100
f0603,味噌茄子,下飯菜,甜甜鹹鹹口中慢慢飄出味噌香,1,120
f3401,讓你鬆一下佐心花朵朵開,甜點,鬆鬆軟軟的鬆餅加上兩大球冰淇淋麻吉還有脆脆的巧克力脆片,1,179
f3402,這個更鬆阿阿阿融化在巧克力裡,甜點,不甜不膩的巧克力醬鬆餅搭上一大球冰激淋阿融化~還有營養滿分的玉米脆片跟水果果乾~,1,159
f27001,在綠地上拔罐,中式料理,絲瓜紅蘿蔔炒肉,4,50
f27002,紅白乒乓水戰,中式料理,白蘿蔔紅蘿蔔貢丸湯,5,20
f60001,鳳梨排骨,中式料理,,8,55
f09002,椰奶西米露茶凍,甜點,綠茶香味的果凍搭上椰香西米露，兩種口感一次滿足~,6,28
f60002,芹菜炒海瓜子,中式料理,,8,38
f0701,番茄肉醬義大利麵,西式料理,,1,210
f6101,地芋綠豆薏仁湯,甜點,,10,50
f20001,香滑烘蛋,西式料理,香滑烘蛋,1,50
f6102,鮮奶酪,甜點,,10,60
f45,雞丼飯,日式料理,,1,160
f48002,嚴選炒時蔬,下飯菜,依當季最新鮮的蔬菜，經快炒調味後即可上菜。,2,80
f20002,南瓜海鮮濃湯,西式料理,南瓜海鮮濃湯,1,75
f20003,香煎豬排,西式料理,香煎豬排,1,110
f20004,肉捲馬鈴薯,小點心,肉捲馬鈴薯,2,50
f54002,香腸蔥蛋起司三明治,早餐,在家也能輕鬆做出好吃的早餐,1,50
f5201,炒茄子,下飯菜,濃郁且辣味的茄子，足以配下好幾碗飯！,4,25
f17001,南瓜濃湯,西式料理,,1,30
f5202,炒筊白筍,下飯菜,用蒜頭爆香的筊白筍，好吃的回味無窮！,4,25
f17002,OREO生乳酪起司蛋糕,甜點,,8,60
f54001,火腿起司三明治,早餐,在家也能輕鬆做出好吃的早餐,1,50
f4702,涼拌透抽,下飯菜,,0,4
f4002,玉米火腿蛋炒飯,中式料理,,5,85
f0608,里肌肉拌炒洋蔥,中式料理,黑胡椒香配上甜甜脆脆洋蔥與嫩到極致的豬肉,1,120
f3102,奶奶雞雞濃一下,麵食,香濃的起司牛奶搭配軟嫩的雞肉吃起來濃密的口感堪成絕配,1,120
f3101,大海的男人,麵食,活跳跳的海鮮加上香濃可口的起司搭配口感適中的筆管麵,1,189
f0609,麻婆婆豆腐,下飯菜,豆瓣醬微微辣辣的口感配上豆腐在口中滿滿的滋味爆出,1,120
f0610,人人都愛吃米,日式料理,米香米香配菜最對味,1,10
f51011,客家小炒,,大火快炒的客家小炒,配冰涼的啤酒最對味,4,50
f45-1,起士披薩,小點心,,1,120
f05,甘梅地瓜,undefined,,45,1
f4601,原味雞肉堡,西式料理,,1,99
f4602,牛肉披薩,西式料理,讚!,1,119
f0702,滑溜溜蛋包飯,中式料理,,1,120
f44002,BBQ雞潛艇堡,西式料理,,1,99
f5501,三杯雞,中式料理,,5,250
